category_id,category_name
MLA1302,Fútbol Americano
MLA1342,Golf
MLA37856,Handball
MLA3732,Hockey
MLA4697,Juegos de Salón
MLA4682,Kitesurf
MLA410723,Monopatines y Scooters
MLA47786,Montañismo y Trekking
MLA1278,Natación
MLA4218,Paintball
MLA432691,Parapente
MLA1295,Patín y Skateboard
MLA8959,Pilates y Yoga
MLA3723,Pulsómetros y Cronómetros
MLA417397,Ropa Deportiva
MLA3731,Rugby
MLA417742,Slackline
MLA18369,Softball y Beisbol
MLA438178,Suplementos y Shakers
MLA1281,Surf y Bodyboard
MLA1322,"Tenis, Padel y Squash "
MLA440904,Tiro Deportivo
MLA1333,Voley
MLA1978,Wakeboard y Esqui Acuático
MLA1282,Windsurf
MLA3724,Zapatillas
MLA1358,Otros
MLA6355,Artefactos de Cuidado Personal
MLA385177,Climatización
MLA1618,Cocción
MLA117258,Dispensadores y Purificadores
MLA438282,Lavado
MLA438284,Pequeños Electrodomésticos
MLA1576,Refrigeración
MLA5977,Otros
MLA3690,Accesorios para Audio y Video
MLA431414,Accesorios para TV
MLA409810,Audio
MLA5054,Cables
MLA11830,Componentes Electrónicos
MLA4632,Controles Remotos
MLA352294,Drones y Accesorios
MLA58775,Fundas y Bolsos
MLA352001,Media Streaming
MLA4641,Pilas y Cargadores
MLA4800,Proyectores y Pantallas
MLA322074,Repuestos para TV
MLA1002,Televisores
MLA1015,Video
MLA1070,Otros
MLA10512,Entradas de Colección
MLA454714,Eventos a Beneficio
MLA10434,Eventos Deportivos
MLA407872,Exposiciones
MLA10405,Recitales
MLA10451,Teatro
MLA10513,Otras Entradas
MLA5227,Accesorios para Herramientas
MLA372059,Cajas y Organizadores
MLA5228,Herramientas Eléctricas
MLA5224,Herramientas Industriales
MLA5235,Herramientas Manuales
MLA437789,Herramientas Neumáticas
MLA411877,Herramientas para Jardín
MLA5976,Testers y Equipos de Medición
MLA5236,Otros
MLA1631,Adornos y Decoración del Hogar
MLA1613,Baños
MLA1592,Bazar y Cocina
MLA1608,"Camas, Colchones y Accesorios"
MLA436069,Cuidado del Hogar y Lavandería
MLA1582,Iluminación para el Hogar
MLA1621,Jardin y Aire Libre
MLA436380,Muebles para el Hogar
MLA436414,Organización para el Hogar
MLA4624,Seguridad para el Hogar
MLA436246,Textiles de Hogar y Decoración
MLA1902,Otros
MLA5284,Arquitectura y Diseño
MLA48904,Embalaje y Logística
MLA454798,Equipamiento Médico
MLA5343,Equipamiento para Comercios
MLA2102,Equipamiento para Oficinas
MLA5182,Gastronomía y Hotelería
MLA412676,Gráfica e Impresión
MLA454785,Herramientas Industriales
MLA5174,Publicidad y Promoción
MLA5169,Seguridad Laboral
MLA5160,Textil y Calzado
MLA12555,Uniformes y Ropa de Trabajo
MLA1893,Otros
MLA374730,Camas Náuticas
MLA1496,Campos
MLA1466,Casas
MLA50541,Cocheras
MLA392265,Consultorios
MLA1472,Departamentos
MLA1475,Depósitos y Galpones
MLA50545,Fondo de Comercio
MLA79242,Locales
MLA50538,Oficinas
MLA50544,"Parcelas, Nichos y Bóvedas"
MLA105179,PH
MLA50547,Quintas
MLA1493,Terrenos y Lotes
MLA50536,Tiempo Compartido
MLA1892,Otros Inmuebles
MLA3024,Baterías y Percusión
MLA435173,Equipos de DJ y Accesorios
MLA434917,Estudio de Grabación
MLA4611,Instrumentos de Cuerdas
MLA3005,Instrumentos de Viento
MLA434818,Metrónomos
MLA434816,Micrófonos y Amplificadores
MLA434927,Parlantes y Bafles
MLA3360,Partituras y Letras
MLA434786,Pedales y Accesorios
MLA2100,Teclados y Pianos
MLA3014,Otros
MLA431676,Exhibidores y Joyeros
MLA404419,Insumos para Joyería
MLA1431,Joyas y Bijouterie
MLA431678,Piedras Preciosas
MLA437168,Piercings
MLA431891,Plumas y Lapiceras de Lujo
MLA6750,Pulsómetros y Cronómetros
MLA431677,Relojes
MLA417301,Repuestos para Relojes
MLA399230,Smartwatch
MLA3938,Otros
MLA352344,Armas y Lanzadores de Juguete
MLA418284,Arte y Manualidades
MLA433060,Casas y Carpas para Niños
MLA2967,Electrónicos para Niños
MLA1831,"Figuritas, Álbumes y Cromos"
MLA432873,Hobbies
MLA11229,Instrumentos Musicales
MLA433069,Juegos de Agua y Playa
MLA432988,Juegos de Mesa y Cartas
MLA1167,Juegos de Plaza y Aire Libre
MLA4696,Juegos de Salón
MLA432991,Juguetes Antiestrés e Ingenio
MLA416865,Juguetes de Bromas
MLA455425,Juguetes de Construcción
MLA432818,Juguetes de Oficios
MLA3655,Juguetes para Bebés
MLA37615,Mesas y Sillas para Niños
MLA432888,Muñecos y Muñecas
MLA12087,Patines y Patinetas
MLA6558,Peloteros y Castillos
MLA1166,Peluches
MLA433047,Títeres y Marionetas
MLA432871,Vehículos de Juguete
MLA6151,Vehículos Montables para Niños
MLA1910,Otros
MLA433385,Catálogos
MLA3043,Comics e Historietas
MLA412445,Libros
MLA3044,Manga
MLA1955,Revistas
MLA1227,Otros
MLA445795,Cursos
MLA1174,Música
